"dates","PT","NL","IT","IE","GR","GB","FR","ES","DE","BE"
2006-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-14,-0.0886763468130269,-0.0365963751366739,0.505121226942335,0.482465555619614,0.127549095095211,-0.0936192931539244,0.316384308257996,-0.509325298924451,0.0808344845059536,-0.16250386898554
2006-02-15,-0.0966487124936899,-0.0507530510761136,0.509808555374726,0.43714786665425,0.0616790961782658,-0.0346834889269364,0.291910630063657,-0.489068762704589,0.101532958056856,-0.182128765689234
2006-02-16,-0.0924276656269053,-0.0718282434282335,0.510156632679608,0.28683360763622,0.0567104260360155,-0.0275973375619412,0.281043769347683,-0.507884598387314,0.124141318331135,-0.153499268520333
2006-02-17,-0.132479831663226,-0.175465258283508,0.469214097188801,0.261047016427118,0.0632755132018283,-0.0250088437985005,0.26715585072773,-0.550565489665689,0.13865593283615,-0.144951352314866
2006-02-20,-0.167149669440769,-0.177275021602895,0.283560889076194,0.240801900701319,0.096426042953462,-0.0230033738870277,0.321182140112505,-0.584993642477194,0.184582254524033,-0.146600251887935
2006-02-21,-0.208797724072852,-0.110533987897457,0.285599595483244,0.0102446772690217,0.0876374381751432,-0.0486139021535215,0.281610085159842,-0.598952000728138,0.221978208239967,-0.195465490340629
2006-02-22,-0.230940192266761,-0.133980071697401,0.307934723368195,0.0284021941110673,0.155626059982896,-0.043285792233212,0.303743304502624,-0.58999558050614,0.201452375924107,-0.235119559829851
2006-02-23,-0.145200025085593,-0.109230291287018,0.117836635399884,0.059133180780557,0.168490760390597,-0.0297842023209242,0.448314663478085,-0.677312545461581,0.16140226001448,-0.212741380682452
2006-02-24,-0.139054578637213,-0.118876766801068,0.192866578672633,0.178092816482403,0.140599403816161,-0.0193668310508681,0.451352510022807,-0.668433049850461,0.204171043200771,-0.0856221398691952
2006-02-27,-0.169860499938275,-0.119676183160564,0.200098151834252,0.223815914603943,0.144968956604876,0.00217617968506927,0.40139859563956,-0.678636353465018,0.179244792100167,-0.0939702416881268
2006-02-28,-0.13387822596691,-0.099476650084363,0.225900938753099,0.170666238707814,0.110295352309917,-0.00974424280900329,0.212224528271112,-0.691142687500636,0.193230681813242,-0.188144288901232
